SITENAME|LNG|LAT|METHOD|MODEL|VARS|WEIGHTS|NDIVISIONS|DIRECTION|GROWINGSEASON|ROTATION|PERIOD|ZONES|RESOLUTION|SCENARIO|OUTFILE|THRESHOLD
GLOBAL_1390394378141|151.128|-33.858|ccafs|[bccr_bcm2_0,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:2|none|[2020_2049,1960_1990]|[global,global]|[10min,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390394378141/|0.0
GLOBAL_1390396671417|151.128|-33.858|ccafs|[bccr_bcm2_0,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:2|none|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390396671417/|0.0
GLOBAL_1390397335512|151.128|-33.858|ccafs|[bccr_bcm2_0,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:2|none|[2020_2049,1960_1990]|[global,global]|[10min,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390397335512/|0.0
GLOBAL_1390397467715|144.844|-31.354|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:1|none|[2020_2049,1960_1990]|[global,global]|[10min,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390397467715/|0.0
GLOBAL_1390397646556|21.797|19.973|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[global,global]|[10min,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390397646556/|0.0
GLOBAL_1390397536705|144.844|-31.354|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:1|none|[2020_2049,1960_1990]|[global,global]|[2_5min,2_5min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390397536705/|0.0
GLOBAL_1390404707582|11.978|51.504|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390404707582/|0.0
RWA_1390408724666|29.521|-2.026|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|1:2|none|[2020_2049,1960_1990]|[rwa,rwa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/RWA_1390408724666/|0.0
RWA_1390408852355|29.521|-2.026|ccafs|[ensemble,current]|[tmean]|[1]|[12,12]|backward|11:1|none|[2020_2049,1960_1990]|[rwa,rwa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/RWA_1390408852355/|0.0
GLOBAL_1390409444950|-108.287|32.754|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[usa,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390409444950/|0.0
GLOBAL_1390415107465|90.417|23.76|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[bgd,global]|[30s,2_5min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1390415107465/|0.0
RWA_1390416922682|29.521|-2.026|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:2|both|[2020_2049,1960_1990]|[rwa,rwa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/RWA_1390416922682/|0.0
KEN_1390432811813|35.849|-0.152|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[ken,ken]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/KEN_1390432811813/|0.0
GLOBAL_1390434086171|-93.25|45.0|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390434086171/|0.0
GLOBAL_1390434297370|-93.15|45.0|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390434297370/|0.0
GLOBAL_1390441287258|-97.251|32.713|ccafs|[current,current]|[tmean,prec]|[0.75,0.25]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390441287258/|0.0
GLOBAL_1390441709533|-76.855|39.2|ccafs|[current,current]|[tmean,prec]|[0.75,0.25]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390441709533/|0.0
RUS_1390446293244|-73.972|40.78|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[usa,rus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/RUS_1390446293244/|0.0
UGA_1390454489603|36.285|-0.421|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[ken,uga]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/UGA_1390454489603/|0.0
GLOBAL_1390465065769|11.061|47.441|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390465065769/|0.0
GLOBAL_1390472917493|11.011|47.476|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390472917493/|0.0
RWA_1390482505160|30.048|-1.971|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|none|[1960_1990,1960_1990]|[rwa,rwa]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/RWA_1390482505160/|0.0
GLOBAL_1390483645661|82.227|17.922|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ind,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390483645661/|0.0
GLOBAL_1390487101030|11.011|47.476|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390487101030/|0.0
AUS_1390491618800|150.777|-33.63|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:1|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1390491618800/|0.0
AUS_1390491894271|150.777|-33.63|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1390491894271/|0.0
AUS_1390492491771|150.777|-33.63|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1390492491771/|0.0
GLOBAL_1390493440829|150.777|-33.63|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|none|[1960_1990,1960_1990]|[aus,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390493440829/|0.0
GLOBAL_1390493671443|150.777|-33.63|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390493671443/|0.0
GLOBAL_1390494503682|15.117|22.918|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390494503682/|0.0
GLOBAL_1390494477360|11.011236|47.476192|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390494477360/|0.0
GLOBAL_1390494961883|11.011236|47.476192|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390494961883/|0.0
GLOBAL_1390495149149|15.117|22.918|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390495149149/|0.0
GLOBAL_1390495251607|-86.025|51.342|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[can,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390495251607/|0.0
GLOBAL_1390495547259|11.061739|47.476192|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390495547259/|0.0
GLOBAL_1390495907502|23.555|-29.229|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390495907502/|0.0
GLOBAL_1390496735517|11.061739|47.476192|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[2_5min,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390496735517/|0.0
GLOBAL_1390501554795|3.516|47.99|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390501554795/|0.0
GLOBAL_1390501750212|-39.375|-7.014|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390501750212/|0.0
GLOBAL_1390503172369|-41.836|73.125|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|tmean|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390503172369/|0.0
GLOBAL_1390503835372|-41.836|73.125|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:1|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390503835372/|0.0
GLOBAL_1390532974287|38.8|37.15|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390532974287/|0.0
GLOBAL_1390543475547|11.011|47.476|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390543475547/|0.0
GLOBAL_1390549722881|11.061|47.441|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390549722881/|0.0
GLOBAL_1390550004562|11.061|47.441|ccafs|[current,current]|[tmean]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390550004562/|0.0
GLOBAL_1390551828015|11.061|47.441|ccafs|[current,current]|[prec]|[1]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[deu,global]|[30s,2_5min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390551828015/|0.0
GLOBAL_1390583610552|150.606|-34.893|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|tmean|[2020_2049,1960_1990]|[aus,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1390583610552/|0.0
GLOBAL_1390626212476|-86.276|39.799|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[usa,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390626212476/|0.0
GLOBAL_1390626297493|10.577|49.304|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390626297493/|0.0
GLOBAL_1390626355941|-86.232|39.893|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390626355941/|0.0
GLOBAL_1390698372715|153.281|-28.304|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1390698372715/|0.0
IND_1390819580996|74.805|34.073|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[ind,ind]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/IND_1390819580996/|0.0
SYR_1390837109111|37.112|35.856|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[2020_2049,2020_2049]|[syr,syr]|[30s,30s]|[a1b,a1b]|/var/www/analogues/outputs/SYR_1390837109111/|0.6
SYR_1390837443405|37.112|35.856|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[2020_2049,2020_2049]|[syr,syr]|[30s,30s]|[a1b,a2]|/var/www/analogues/outputs/SYR_1390837443405/|0.6
GLOBAL_1391025374268|-72.07|-13.24|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391025374268/|0.0
PER_1391026276797|-71.591|-11.959|ccafs|[current,current]|[tmean,prec]|[0.6,0.4]|[12,12]|none|7:10|none|[1960_1990,1960_1990]|[per,per]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/PER_1391026276797/|0.01
GLOBAL_1391026297972|-72.0|-16.061|ccafs|[current,current]|[tmean,prec]|[0.6,0.4]|[12,12]|none|7:10|none|[1960_1990,1960_1990]|[per,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391026297972/|0.01
GLOBAL_1391026516031|13.359|13.24|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[global,global]|[10min,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1391026516031/|0.0
GLOBAL_1391090634966|-1.139|44.54|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[fra,global]|[30s,10min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1391090634966/|0.0
GLOBAL_1391116602929|2.109|45.89|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:2|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391116602929/|0.0
GLOBAL_1391116678733|2.109|45.89|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:2|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391116678733/|0.0
GLOBAL_1391117155515|0.732|33.593|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391117155515/|0.0
GLOBAL_1391117236704|29.883|5.616|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:2|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391117236704/|0.0
TUR_1391117564425|34.082|39.134|ccafs|[ensemble,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|tmean|[2020_2049,2020_2049]|[tur,tur]|[30s,30s]|[a1b,a1b]|/var/www/analogues/outputs/TUR_1391117564425/|0.02
KHM_1391150897729|105.476|11.979|ccafs|[current,cccma_cgcm3_1_t63]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|5:10|none|[1960_1990,2020_2049]|[khm,khm]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/KHM_1391150897729/|0.0
GLOBAL_1391164449778|25.62|-33.45|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391164449778/|0.0
GLOBAL_1391173905561|-89.396|14.339|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[slv,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391173905561/|0.0
BFA_1391349340573|-1.53|12.36|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[bfa,bfa]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/BFA_1391349340573/|0.0
GLOBAL_1391432021526|87.901|27.585|ccafs|[current,ensemble]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[npl,global]|[30s,10min]|[baseline,a1b]|/var/www/analogues/outputs/GLOBAL_1391432021526/|0.0
GLOBAL_1391440929819|-8.428|40.215|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[prt,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391440929819/|0.0
GLOBAL_1391442524089|-7.945|37.83|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391442524089/|0.0
GLOBAL_1391469540447|19.693|46.333|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|3:11|none|[1960_1990,1960_1990]|[hun,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391469540447/|0.0
GLOBAL_1391469924540|19.693|46.333|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|3:10|none|[1960_1990,1960_1990]|[hun,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391469924540/|0.5
GLOBAL_1391508591699|19.721|46.318|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|3:11|none|[2020_2049,1960_1990]|[hun,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1391508591699/|0.0
KEN_1391554404561|38.0|0.1|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|both|[1960_1990,1960_1990]|[ken,ken]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/KEN_1391554404561/|0.0
GLOBAL_1391529680033|-74.088|42.683|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[global,global]|[10min,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391529680033/|0.0
GLOBAL_1391531995774|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[global,global]|[2_5min,10min]|[b1,baseline]|/var/www/analogues/outputs/GLOBAL_1391531995774/|0.0
TCD_1391532028353|21.41474|12.223973|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[tcd,tcd]|[30s,30s]|[a2,baseline]|/var/www/analogues/outputs/TCD_1391532028353/|0.0
SDN_1391532017919|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[sdn,sdn]|[30s,30s]|[b1,baseline]|/var/www/analogues/outputs/SDN_1391532017919/|0.0
TCD_1391532031663|21.41474|12.223973|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[tcd,tcd]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/TCD_1391532031663/|0.0
SDN_1391532047494|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[sdn,sdn]|[30s,30s]|[a2,baseline]|/var/www/analogues/outputs/SDN_1391532047494/|0.0
TCD_1391532097167|21.41474|12.223973|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[tcd,tcd]|[30s,30s]|[b1,baseline]|/var/www/analogues/outputs/TCD_1391532097167/|0.0
SDN_1391532359683|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[sdn,sdn]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/SDN_1391532359683/|0.0
SDN_1391532504356|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[sdn,sdn]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/SDN_1391532504356/|0.0
TCD_1391532648114|21.41474|12.223973|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|7:9|none|[2020_2049,1960_1990]|[tcd,tcd]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/TCD_1391532648114/|0.0
JPN_1391532931412|130.581|33.486|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|4:10|none|[2020_2049,1960_1990]|[jpn,jpn]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/JPN_1391532931412/|0.0
TCD_1391533163834|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[sdn,tcd]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/TCD_1391533163834/|0.0
GLOBAL_1391533237432|21.41474|12.223973|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[tcd,global]|[30s,10min]|[b1,baseline]|/var/www/analogues/outputs/GLOBAL_1391533237432/|0.0
ETH_1391533315058|22.44971|13.447093|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|6:9|none|[2020_2049,1960_1990]|[sdn,eth]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/ETH_1391533315058/|0.0
GLOBAL_1391565968384|148.922|-24.882|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391565968384/|0.0
GLOBAL_1391566276515|151.26|-27.18|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,global]|[30s,10min]|[a1b,baseline]|/var/www/analogues/outputs/GLOBAL_1391566276515/|0.0
AUS_1391566397119|151.26|-27.13|ccafs|[ensemble,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391566397119/|0.0
GLOBAL_1391568553261|150.645|-27.894|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,global]|[30s,10min]|[baseline,baseline]|/var/www/analogues/outputs/GLOBAL_1391568553261/|0.0
AUS_1391569015059|151.35|-27.18|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391569015059/|0.0
AUS_1391569527221|151.612|-27.232|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391569527221/|0.8
AUS_1391569975946|151.612|-27.232|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391569975946/|0.6
AUS_1391570842686|151.612|-27.232|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391570842686/|0.4
AUS_1391571250967|151.612|-27.232|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1391571250967/|0.4
AUS_1391571733335|151.612|-27.232|ccafs|[csiro_mk3_5,current]|[tmean,prec]|[0.5,0.5]|[12,12]|backward|1:12|none|[2020_2049,1960_1990]|[aus,aus]|[30s,30s]|[a1b,baseline]|/var/www/analogues/outputs/AUS_1391571733335/|0.5
AUS_1391573162703|151.612|-27.232|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1391573162703/|0.5
AUS_1391578051221|151.26|-27.18|ccafs|[current,csiro_mk3_5]|[tmean,prec]|[0.5,0.5]|[12,12]|forward|1:12|none|[1960_1990,2020_2049]|[aus,aus]|[30s,30s]|[baseline,a1b]|/var/www/analogues/outputs/AUS_1391578051221/|0.5
AUS_1391579249062|151.26|-27.18|ccafs|[current,current]|[tmean,prec]|[0.5,0.5]|[12,12]|none|1:12|none|[1960_1990,1960_1990]|[aus,aus]|[30s,30s]|[baseline,baseline]|/var/www/analogues/outputs/AUS_1391579249062/|0.5
